	bc1 num	count	frac	cumulative	index
2331	demo_bc1_28_bc2_35_bc3_52	0	0.0	1.0000000000000004	144
2332	demo_bc1_29_bc2_35_bc3_52	0	0.0	1.0000000000000004	145
2333	demo_bc1_30_bc2_35_bc3_52	0	0.0	1.0000000000000004	146
2334	demo_bc1_31_bc2_35_bc3_52	0	0.0	1.0000000000000004	147
2335	demo_bc1_32_bc2_35_bc3_52	0	0.0	1.0000000000000004	148
2336	demo_bc1_33_bc2_35_bc3_52	0	0.0	1.0000000000000004	149
2337	demo_bc1_34_bc2_35_bc3_52	0	0.0	1.0000000000000004	150
2338	demo_bc1_35_bc2_35_bc3_52	0	0.0	1.0000000000000004	151
2340	demo_bc1_37_bc2_35_bc3_52	0	0.0	1.0000000000000004	152
2341	demo_bc1_38_bc2_35_bc3_52	0	0.0	1.0000000000000004	153
2342	demo_bc1_39_bc2_35_bc3_52	0	0.0	1.0000000000000004	154
2343	demo_bc1_40_bc2_35_bc3_52	0	0.0	1.0000000000000004	155
2344	demo_bc1_41_bc2_35_bc3_52	0	0.0	1.0000000000000004	156
2345	demo_bc1_42_bc2_35_bc3_52	0	0.0	1.0000000000000004	157
2346	demo_bc1_43_bc2_35_bc3_52	0	0.0	1.0000000000000004	158
2347	demo_bc1_44_bc2_35_bc3_52	0	0.0	1.0000000000000004	159
2348	demo_bc1_45_bc2_35_bc3_52	0	0.0	1.0000000000000004	160
2322	demo_bc1_19_bc2_35_bc3_52	0	0.0	1.0000000000000004	161
2321	demo_bc1_18_bc2_35_bc3_52	0	0.0	1.0000000000000004	162
2320	demo_bc1_17_bc2_35_bc3_52	0	0.0	1.0000000000000004	163
2306	demo_bc1_3_bc2_35_bc3_52	0	0.0	1.0000000000000004	164
2295	demo_bc1_88_bc2_86_bc3_51	0	0.0	1.0000000000000004	165
2296	demo_bc1_89_bc2_86_bc3_51	0	0.0	1.0000000000000004	166
2297	demo_bc1_90_bc2_86_bc3_51	0	0.0	1.0000000000000004	167
2298	demo_bc1_91_bc2_86_bc3_51	0	0.0	1.0000000000000004	168
2299	demo_bc1_92_bc2_86_bc3_51	0	0.0	1.0000000000000004	169
2300	demo_bc1_93_bc2_86_bc3_51	0	0.0	1.0000000000000004	170
2301	demo_bc1_94_bc2_86_bc3_51	0	0.0	1.0000000000000004	171
2302	demo_bc1_95_bc2_86_bc3_51	0	0.0	1.0000000000000004	172
2303	demo_bc1_96_bc2_86_bc3_51	0	0.0	1.0000000000000004	173
